fsc_adj,chl_adj,pe_adj
"-24457.166666666664",-18111.083333333332,-39604.666666666664
"-29571.166666666664",-23562.083333333332,-41273.666666666664
"-25257.166666666664",-17162.083333333332,-41561.666666666664
"-36819.166666666664",-17343.083333333332,-40382.666666666664
"-21161.166666666664",-16548.083333333332,-40724.666666666664
"-31939.166666666664",-19407.083333333332,-41598.666666666664
"-35902.166666666664",-15434.083333333332,-42558.666666666664
"-39566.166666666664",-23204.083333333332,-41454.666666666664
"-41246.166666666664",-14602.083333333332,-41033.666666666664
"-30969.166666666664",-21652.083333333332,-39028.666666666664
"-33374.166666666664",-22538.083333333332,-40916.666666666664
"-32462.166666666664",-21503.083333333332,-42030.666666666664
"-35609.166666666664",-17364.083333333332,-39289.666666666664
"-31529.166666666664",-22516.083333333332,-39993.666666666664
"-31097.166666666664",-17242.083333333332,-41577.666666666664
"-28398.166666666664",-15690.083333333332,-40537.666666666664
"-33561.166666666664",-24303.083333333332,-40681.666666666664
"-32921.166666666664",-17172.083333333332,-42617.666666666664
1612.8333333333358,15749.916666666668,-41422.666666666664
"-26643.166666666664",6155.916666666668,-41380.666666666664
"-30089.166666666664",-18170.083333333332,-38009.666666666664
"-36318.166666666664",-17620.083333333332,-39380.666666666664
"-32905.166666666664",-22186.083333333332,-42393.666666666664
"-31582.166666666664",-22324.083333333332,-41380.666666666664
"-36750.166666666664",-22159.083333333332,-40505.666666666664
"-40051.166666666664",-20266.083333333332,-42324.666666666664
"-32638.166666666664",-19508.083333333332,-40553.666666666664
"-41113.166666666664",-16452.083333333332,-38521.666666666664
"-38158.166666666664",-18970.083333333332,-40292.666666666664
"-23118.166666666664",-21103.083333333332,-42036.666666666664
"-33918.166666666664",-17967.083333333332,-39913.666666666664
"-39283.166666666664",-19812.083333333332,-41225.666666666664
"-4169.166666666664",7424.916666666668,-41252.666666666664
"-33022.166666666664",-22378.083333333332,-40073.666666666664
"-8697.166666666664",715.9166666666679,-41268.666666666664
"-39086.166666666664",-15151.083333333332,-38388.666666666664
"-32286.166666666664",-21828.083333333332,-40745.666666666664
"-33358.166666666664",-22762.083333333332,-38537.666666666664
"-31646.166666666664",-18666.083333333332,-41492.666666666664
"-36361.166666666664",-16383.083333333332,-41566.666666666664
"-32734.166666666664",-15967.083333333332,-42185.666666666664
"-25027.166666666664",-18772.083333333332,-41662.666666666664
4652.833333333336,6235.916666666668,-41257.666666666664
"-27939.166666666664",-21220.083333333332,-41625.666666666664
"-37107.166666666664",-17535.083333333332,-41252.666666666664
"-33907.166666666664",-20100.083333333332,-40756.666666666664
"-27662.166666666664",-12447.083333333332,-41822.666666666664
"-8553.166666666664",1307.9166666666679,-39118.666666666664
"-38697.166666666664",-20250.083333333332,-41396.666666666664
118.83333333333576,2379.916666666668,-41502.666666666664
"-22617.166666666664",-19978.083333333332,-39433.666666666664
"-25273.166666666664",-22287.083333333332,-40958.666666666664
"-30243.166666666664",-19828.083333333332,-40734.666666666664
"-32158.166666666664",-23647.083333333332,-41278.666666666664
"-21465.166666666664",-22650.083333333332,-41342.666666666664
"-36601.166666666664",-18031.083333333332,-40788.666666666664
"-17497.166666666664",-21674.083333333332,-41198.666666666664
"-9785.166666666664",-20746.083333333332,-31086.666666666664
"-33945.166666666664",-20106.083333333332,-40708.666666666664
417.83333333333576,12325.916666666668,-40558.666666666664
"-26457.166666666664",-21183.083333333332,-39102.666666666664
"-25811.166666666664",-18511.083333333332,-42292.666666666664
"-34105.166666666664",-15711.083333333332,-42137.666666666664
"-34585.166666666664",-17023.083333333332,-41412.666666666664
"-6019.166666666664",7925.916666666668,-40537.666666666664
"-34942.166666666664",-19407.083333333332,-41438.666666666664
"-22595.166666666664",-18063.083333333332,-36926.666666666664
"-37710.166666666664",-19903.083333333332,-41225.666666666664
4726.833333333336,16752.916666666668,-39209.666666666664
"-31518.166666666664",-21316.083333333332,-39220.666666666664
"-36110.166666666664",-20559.083333333332,-41785.666666666664
"-34681.166666666664",-20698.083333333332,-41214.666666666664
"-38595.166666666664",-21807.083333333332,-41428.666666666664
"-35518.166666666664",-21108.083333333332,-39476.666666666664
"-26563.166666666664",-19300.083333333332,-40094.666666666664
"-31262.166666666664",-19300.083333333332,-41449.666666666664
"-38558.166666666664",-23423.083333333332,-41865.666666666664
"-25401.166666666664",-18650.083333333332,-40126.666666666664
"-7102.166666666664",-18911.083333333332,-40644.666666666664
"-33774.166666666664",-21684.083333333332,-41220.666666666664
"-18003.166666666664",-3183.083333333332,-41438.666666666664
"-24910.166666666664",-16383.083333333332,-39604.666666666664
"-23950.166666666664",-16820.083333333332,-36734.666666666664
"-34766.166666666664",-18554.083333333332,-41353.666666666664
"-37465.166666666664",-21295.083333333332,-40297.666666666664
"-17513.166666666664",-23167.083333333332,-39913.666666666664
"-38339.166666666664",-24676.083333333332,-42222.666666666664
"-35859.166666666664",-21732.083333333332,-39241.666666666664
"-26729.166666666664",-14874.083333333332,-39924.666666666664
"-35454.166666666664",-21956.083333333332,-42526.666666666664
"-36473.166666666664",-22164.083333333332,-42238.666666666664
"-28227.166666666664",-15567.083333333332,-44180.666666666664
"-31251.166666666664",-16666.083333333332,-40238.666666666664
"-27902.166666666664",-14132.083333333332,-38921.666666666664
"-30339.166666666664",-18634.083333333332,-41625.666666666664
"-30259.166666666664",-21572.083333333332,-40462.666666666664
"-37305.166666666664",-20703.083333333332,-39929.666666666664
"-29561.166666666664",-14164.083333333332,-41294.666666666664
"-31689.166666666664",-17151.083333333332,-41812.666666666664
"-27171.166666666664",-15844.083333333332,-40329.666666666664
"-28809.166666666664",-17188.083333333332,-42238.666666666664
"-19134.166666666664",-18932.083333333332,-39369.666666666664
"-3001.1666666666642",5893.916666666668,-39940.666666666664
"-26318.166666666664",-19082.083333333332,-40260.666666666664
"-31438.166666666664",-20906.083333333332,-40004.666666666664
"-34654.166666666664",-24356.083333333332,-42388.666666666664
"-5795.166666666664",8981.916666666668,-40276.666666666664
"-34003.166666666664",-24330.083333333332,-41001.666666666664
"-15033.166666666664",7147.916666666668,-42153.666666666664
"-26643.166666666664",-20639.083333333332,-38137.666666666664
"-26942.166666666664",-15210.083333333332,-38345.666666666664
"-26515.166666666664",-15450.083333333332,-39209.666666666664
"-35689.166666666664",-23343.083333333332,-41310.666666666664
"-32035.166666666664",-18959.083333333332,-40126.666666666664
"-22062.166666666664",-21652.083333333332,-40580.666666666664
"-25219.166666666664",-14436.083333333332,-41038.666666666664
"-6809.166666666664",-218.08333333333212,-22697.666666666664
"-34963.166666666664",-20079.083333333332,-41284.666666666664
"-12734.166666666664",1435.9166666666679,-41380.666666666664
"-33401.166666666664",-16788.083333333332,-39108.666666666664
"-21609.166666666664",-22308.083333333332,-42030.666666666664
"-30174.166666666664",-18580.083333333332,-39124.666666666664
"-29587.166666666664",-23391.083333333332,-40062.666666666664
"-35614.166666666664",-13636.083333333332,-41092.666666666664
"-29977.166666666664",-18815.083333333332,-42089.666666666664
"-28787.166666666664",-21055.083333333332,-41646.666666666664
"-32915.166666666664",-18362.083333333332,-40889.666666666664
"-7150.166666666664",-1418.0833333333321,-40980.666666666664
"-31475.166666666664",-14874.083333333332,-39945.666666666664
"-33710.166666666664",-19066.083333333332,-40681.666666666664
"-34297.166666666664",-23311.083333333332,-39961.666666666664
"-33454.166666666664",-22543.083333333332,-40884.666666666664
"-31385.166666666664",-18351.083333333332,-40105.666666666664
"-25662.166666666664",-15775.083333333332,-43684.666666666664
"-36062.166666666664",-21476.083333333332,-40910.666666666664
"-30718.166666666664",-21668.083333333332,-37838.666666666664
"-37891.166666666664",-21018.083333333332,-41881.666666666664
"-6361.166666666664",-18783.083333333332,-39849.666666666664
"-34622.166666666664",-23652.083333333332,-40724.666666666664
"-37529.166666666664",-21743.083333333332,-39017.666666666664
"-22435.166666666664",-20698.083333333332,-41422.666666666664
"-32233.166666666664",-19220.083333333332,-39924.666666666664
"-27614.166666666664",-16212.083333333332,-41230.666666666664
"-33507.166666666664",-18991.083333333332,-41748.666666666664
"-29971.166666666664",-17663.083333333332,-41316.666666666664
"-33059.166666666664",-20079.083333333332,-39854.666666666664
"-30985.166666666664",-21215.083333333332,-42009.666666666664
"-27929.166666666664",-19439.083333333332,-41353.666666666664
"-32915.166666666664",-14138.083333333332,-40265.666666666664
"-18707.166666666664",-22036.083333333332,-39417.666666666664
"-34425.166666666664",-19631.083333333332,-42004.666666666664
"-32254.166666666664",-19588.083333333332,-41225.666666666664
"-28286.166666666664",-17636.083333333332,-41561.666666666664
"-403.16666666666424",12869.916666666668,-42820.666666666664
